,Date,Incident Count
899,10/27/2017,4114
989,11/26/2017,3520
1079,12/26/2017,3814
867,10/16/2018,4065
957,11/15/2018,4451
1047,12/15/2018,4274
883,10/22/2016,3579
973,11/21/2016,3752
1063,12/21/2016,4086
854,10/12/2017,4031
941,11/10/2017,3833
1031,12/10/2017,3778
912,10/31/2018,4169
1002,11/30/2018,4287
1089,12/29/2018,3987
907,10/30/2016,4064
997,11/29/2016,3945
1087,12/29/2016,3951
875,10/19/2017,4244
965,11/18/2017,3900
1055,12/18/2017,4340
0,1/1/2016,4879
3,1/2/2016,3439
6,1/3/2016,3433
9,1/4/2016,3707
12,1/5/2016,3614
15,1/6/2016,3913
18,1/7/2016,3862
21,1/8/2016,3874
24,1/9/2016,3765
27,1/10/2016,3492
30,1/11/2016,3789
33,1/12/2016,3702
36,1/13/2016,3718
39,1/14/2016,3709
42,1/15/2016,3858
45,1/16/2016,3652
48,1/17/2016,3472
51,1/18/2016,3484
54,1/19/2016,3885
57,1/20/2016,3770
60,1/21/2016,3758
63,1/22/2016,3905
69,1/24/2016,3982
72,1/25/2016,4558
75,1/26/2016,4253
78,1/27/2016,3966
81,1/28/2016,4039
84,1/29/2016,4068
87,1/30/2016,3753
90,1/31/2016,3663
93,2/1/2016,4124
96,2/2/2016,4077
99,2/3/2016,3904
102,2/4/2016,4027
105,2/5/2016,4007
108,2/6/2016,3798
111,2/7/2016,3539
114,2/8/2016,3769
117,2/9/2016,3846
120,2/10/2016,3921
123,2/11/2016,3848
126,2/12/2016,3872
129,2/13/2016,3622
132,2/14/2016,3443
135,2/15/2016,3785
138,2/16/2016,4161
141,2/17/2016,3813
144,2/18/2016,3777
147,2/19/2016,3801
150,2/20/2016,3912
153,2/21/2016,3653
159,2/23/2016,3861
162,2/24/2016,3999
165,2/25/2016,3982
168,2/26/2016,4079
171,2/27/2016,3776
174,2/28/2016,3649
177,2/29/2016,4177
178,3/1/2016,4026
181,3/2/2016,3913
184,3/3/2016,3970
187,3/4/2016,4069
190,3/5/2016,3876
193,3/6/2016,3749
196,3/7/2016,4353
199,3/8/2016,4281
202,3/9/2016,4395
205,3/10/2016,4450
208,3/11/2016,4428
211,3/12/2016,3997
214,3/13/2016,3666
217,3/14/2016,4083
220,3/15/2016,4182
223,3/16/2016,4001
226,3/17/2016,4277
229,3/18/2016,4055
232,3/19/2016,3605
235,3/20/2016,3408
238,3/21/2016,3896
241,3/22/2016,3802
247,3/24/2016,3981
250,3/25/2016,3850
253,3/26/2016,3569
256,3/27/2016,3418
259,3/28/2016,3874
262,3/29/2016,3728
265,3/30/2016,3982
268,3/31/2016,4027
271,4/1/2016,4346
274,4/2/2016,3897
277,4/3/2016,3501
280,4/4/2016,3965
283,4/5/2016,3877
286,4/6/2016,3895
289,4/7/2016,3948
292,4/8/2016,3922
295,4/9/2016,3482
298,4/10/2016,3582
301,4/11/2016,4069
304,4/12/2016,3824
307,4/13/2016,4038
310,4/14/2016,3898
313,4/15/2016,3950
316,4/16/2016,3886
319,4/17/2016,3876
322,4/18/2016,4150
325,4/19/2016,4122
328,4/20/2016,4028
331,4/21/2016,4172
337,4/23/2016,3908
340,4/24/2016,3550
343,4/25/2016,4054
346,4/26/2016,3596
349,4/27/2016,3742
352,4/28/2016,3529
355,4/29/2016,3609
358,4/30/2016,3859
361,5/1/2016,3353
364,5/2/2016,3833
367,5/3/2016,3913
370,5/4/2016,3964
373,5/5/2016,3787
376,5/6/2016,3936
379,5/7/2016,3690
382,5/8/2016,3642
385,5/9/2016,4176
388,5/10/2016,3973
391,5/11/2016,4268
394,5/12/2016,4178
397,5/13/2016,3941
400,5/14/2016,3782
403,5/15/2016,3569
406,5/16/2016,4077
409,5/17/2016,3927
412,5/18/2016,3920
415,5/19/2016,3942
418,5/20/2016,4227
424,5/22/2016,3610
427,5/23/2016,4129
430,5/24/2016,3983
433,5/25/2016,4268
436,5/26/2016,4309
439,5/27/2016,4354
442,5/28/2016,4202
445,5/29/2016,4049
448,5/30/2016,3661
451,5/31/2016,4338
454,6/1/2016,4170
457,6/2/2016,4073
460,6/3/2016,3989
463,6/4/2016,3970
466,6/5/2016,3585
469,6/6/2016,4309
472,6/7/2016,4116
475,6/8/2016,3862
478,6/9/2016,3832
481,6/10/2016,4279
484,6/11/2016,4241
487,6/12/2016,4062
490,6/13/2016,4051
493,6/14/2016,3919
496,6/15/2016,4088
499,6/16/2016,3986
502,6/17/2016,4086
505,6/18/2016,4127
508,6/19/2016,3855
514,6/21/2016,4117
517,6/22/2016,4135
520,6/23/2016,4087
523,6/24/2016,4292
526,6/25/2016,3965
529,6/26/2016,3904
532,6/27/2016,4339
535,6/28/2016,3857
538,6/29/2016,4110
541,6/30/2016,4121
544,7/1/2016,4009
547,7/2/2016,3882
550,7/3/2016,3876
553,7/4/2016,3800
556,7/5/2016,4295
559,7/6/2016,4172
562,7/7/2016,4363
565,7/8/2016,4101
568,7/9/2016,3693
571,7/10/2016,3864
574,7/11/2016,4081
577,7/12/2016,4109
580,7/13/2016,4048
583,7/14/2016,4143
586,7/15/2016,4312
589,7/16/2016,4075
592,7/17/2016,4077
595,7/18/2016,4383
601,7/20/2016,4003
604,7/21/2016,4061
607,7/22/2016,4208
610,7/23/2016,4344
613,7/24/2016,4116
616,7/25/2016,4240
619,7/26/2016,4113
622,7/27/2016,4233
625,7/28/2016,4128
628,7/29/2016,4010
631,7/30/2016,4053
634,7/31/2016,3770
637,8/1/2016,4000
640,8/2/2016,4101
643,8/3/2016,3941
646,8/4/2016,3926
649,8/5/2016,3993
652,8/6/2016,4051
655,8/7/2016,3834
658,8/8/2016,4151
661,8/9/2016,3965
664,8/10/2016,4033
667,8/11/2016,4319
670,8/12/2016,4286
673,8/13/2016,4475
676,8/14/2016,4295
679,8/15/2016,4363
682,8/16/2016,4179
685,8/17/2016,4026
691,8/19/2016,4250
694,8/20/2016,4062
697,8/21/2016,3909
700,8/22/2016,3831
703,8/23/2016,3870
706,8/24/2016,3889
709,8/25/2016,3980
712,8/26/2016,4174
715,8/27/2016,3867
718,8/28/2016,3812
721,8/29/2016,4036
724,8/30/2016,3767
727,8/31/2016,3990
730,9/1/2016,3954
733,9/2/2016,4005
736,9/3/2016,3850
739,9/4/2016,3689
742,9/5/2016,3812
745,9/6/2016,3845
748,9/7/2016,3954
751,9/8/2016,4169
754,9/9/2016,4330
757,9/10/2016,4257
760,9/11/2016,3896
763,9/12/2016,3963
766,9/13/2016,4154
769,9/14/2016,4088
772,9/15/2016,3898
778,9/17/2016,3943
781,9/18/2016,3833
784,9/19/2016,3938
787,9/20/2016,4228
790,9/21/2016,4110
793,9/22/2016,4167
796,9/23/2016,4361
799,9/24/2016,3813
802,9/25/2016,3787
805,9/26/2016,3977
808,9/27/2016,3952
811,9/28/2016,3726
814,9/29/2016,3632
817,9/30/2016,3887
820,10/1/2016,3704
823,10/2/2016,3710
826,10/3/2016,3842
829,10/4/2016,3656
835,10/6/2016,3983
838,10/7/2016,4127
841,10/8/2016,3809
844,10/9/2016,3447
847,10/10/2016,3749
850,10/11/2016,4032
853,10/12/2016,3806
856,10/13/2016,4097
859,10/14/2016,3991
862,10/15/2016,3750
868,10/17/2016,4344
871,10/18/2016,4169
874,10/19/2016,4135
877,10/20/2016,3978
880,10/21/2016,4211
886,10/23/2016,3605
889,10/24/2016,3913
892,10/25/2016,3613
895,10/26/2016,3706
898,10/27/2016,3748
901,10/28/2016,3873
904,10/29/2016,3713
910,10/31/2016,3743
913,11/1/2016,3997
916,11/2/2016,3947
919,11/3/2016,4083
922,11/4/2016,4129
925,11/5/2016,3598
928,11/6/2016,3868
931,11/7/2016,3906
934,11/8/2016,3686
937,11/9/2016,3841
940,11/10/2016,3871
943,11/11/2016,3678
946,11/12/2016,3584
949,11/13/2016,3555
955,11/15/2016,3794
958,11/16/2016,3942
961,11/17/2016,3967
964,11/18/2016,4102
967,11/19/2016,3917
970,11/20/2016,3420
976,11/22/2016,3689
979,11/23/2016,3650
982,11/24/2016,3180
985,11/25/2016,3833
988,11/26/2016,3494
991,11/27/2016,3421
994,11/28/2016,3914
1000,11/30/2016,3892
1003,12/1/2016,4125
1006,12/2/2016,4164
1009,12/3/2016,3732
1012,12/4/2016,3512
1015,12/5/2016,4145
1018,12/6/2016,4051
1021,12/7/2016,4078
1024,12/8/2016,4100
1027,12/9/2016,3932
1030,12/10/2016,3786
1033,12/11/2016,3571
1036,12/12/2016,4076
1039,12/13/2016,4098
1045,12/15/2016,4145
1048,12/16/2016,4121
1051,12/17/2016,3928
1054,12/18/2016,3969
1057,12/19/2016,4194
1060,12/20/2016,4044
1066,12/22/2016,4180
1069,12/23/2016,4362
1072,12/24/2016,4024
1075,12/25/2016,3582
1078,12/26/2016,3940
1081,12/27/2016,4315
1084,12/28/2016,3987
1090,12/30/2016,3941
1093,12/31/2016,3871
1,1/1/2017,4928
4,1/2/2017,3685
7,1/3/2017,4302
10,1/4/2017,4450
13,1/5/2017,3957
16,1/6/2017,4097
19,1/7/2017,3948
22,1/8/2017,3634
25,1/9/2017,4258
28,1/10/2017,4152
31,1/11/2017,4310
37,1/13/2017,4073
40,1/14/2017,3663
43,1/15/2017,3627
46,1/16/2017,3743
49,1/17/2017,4019
52,1/18/2017,3845
55,1/19/2017,4057
58,1/20/2017,4113
61,1/21/2017,3874
64,1/22/2017,3729
67,1/23/2017,4106
70,1/24/2017,3863
73,1/25/2017,4051
76,1/26/2017,4054
79,1/27/2017,3878
82,1/28/2017,3872
85,1/29/2017,3523
88,1/30/2017,3981
91,1/31/2017,3702
94,2/1/2017,3932
97,2/2/2017,3879
100,2/3/2017,3990
103,2/4/2017,3744
106,2/5/2017,3773
109,2/6/2017,4153
112,2/7/2017,4009
115,2/8/2017,4315
118,2/9/2017,3368
121,2/10/2017,4122
127,2/12/2017,3590
130,2/13/2017,4058
133,2/14/2017,4025
136,2/15/2017,4112
139,2/16/2017,3707
142,2/17/2017,3893
145,2/18/2017,3834
148,2/19/2017,3834
151,2/20/2017,3663
154,2/21/2017,3628
157,2/22/2017,3626
160,2/23/2017,3695
163,2/24/2017,4064
166,2/25/2017,3794
169,2/26/2017,3376
172,2/27/2017,3849
175,2/28/2017,3774
179,3/1/2017,3961
182,3/2/2017,3828
185,3/3/2017,3858
188,3/4/2017,3523
191,3/5/2017,3361
194,3/6/2017,3860
197,3/7/2017,3801
200,3/8/2017,3805
203,3/9/2017,3946
206,3/10/2017,3669
209,3/11/2017,3423
215,3/13/2017,4036
218,3/14/2017,3180
221,3/15/2017,4224
224,3/16/2017,4247
227,3/17/2017,4406
230,3/18/2017,3813
233,3/19/2017,3700
236,3/20/2017,4159
239,3/21/2017,3991
242,3/22/2017,3840
245,3/23/2017,3863
248,3/24/2017,3947
251,3/25/2017,3764
254,3/26/2017,3485
257,3/27/2017,4085
260,3/28/2017,3713
263,3/29/2017,3878
266,3/30/2017,3919
269,3/31/2017,3770
272,4/1/2017,3613
275,4/2/2017,3841
278,4/3/2017,4269
281,4/4/2017,4000
284,4/5/2017,4175
287,4/6/2017,3946
290,4/7/2017,4173
293,4/8/2017,3709
296,4/9/2017,3755
299,4/10/2017,4048
305,4/12/2017,3831
308,4/13/2017,3793
311,4/14/2017,3781
314,4/15/2017,3726
317,4/16/2017,4021
320,4/17/2017,3962
323,4/18/2017,3796
326,4/19/2017,3835
329,4/20/2017,4105
332,4/21/2017,4005
335,4/22/2017,3812
338,4/23/2017,3788
341,4/24/2017,4108
344,4/25/2017,3960
347,4/26/2017,3915
350,4/27/2017,4115
353,4/28/2017,4350
356,4/29/2017,4360
359,4/30/2017,3678
362,5/1/2017,4346
365,5/2/2017,4409
368,5/3/2017,4114
371,5/4/2017,4205
374,5/5/2017,4046
377,5/6/2017,4031
380,5/7/2017,3758
383,5/8/2017,4225
386,5/9/2017,4050
392,5/11/2017,4081
395,5/12/2017,4278
398,5/13/2017,3559
401,5/14/2017,3675
404,5/15/2017,4364
407,5/16/2017,4120
410,5/17/2017,4529
413,5/18/2017,4836
416,5/19/2017,4975
419,5/20/2017,4095
422,5/21/2017,3972
425,5/22/2017,4123
428,5/23/2017,4091
431,5/24/2017,4190
434,5/25/2017,4037
437,5/26/2017,4253
440,5/27/2017,3888
443,5/28/2017,3721
446,5/29/2017,3484
449,5/30/2017,4023
452,5/31/2017,4156
455,6/1/2017,4257
458,6/2/2017,4282
461,6/3/2017,4162
464,6/4/2017,3855
467,6/5/2017,4271
470,6/6/2017,3898
473,6/7/2017,4030
476,6/8/2017,3913
482,6/10/2017,4452
485,6/11/2017,4362
488,6/12/2017,4544
491,6/13/2017,4671
494,6/14/2017,4528
497,6/15/2017,4257
500,6/16/2017,4106
503,6/17/2017,3898
506,6/18/2017,4032
509,6/19/2017,4465
512,6/20/2017,4142
515,6/21/2017,4274
518,6/22/2017,4385
521,6/23/2017,4458
524,6/24/2017,4215
527,6/25/2017,4353
530,6/26/2017,4211
533,6/27/2017,4306
536,6/28/2017,4158
539,6/29/2017,4035
542,6/30/2017,4284
545,7/1/2017,4184
548,7/2/2017,4036
551,7/3/2017,4115
554,7/4/2017,3923
557,7/5/2017,4399
560,7/6/2017,3967
563,7/7/2017,4109
566,7/8/2017,3988
572,7/10/2017,4363
575,7/11/2017,4153
578,7/12/2017,4264
581,7/13/2017,4344
584,7/14/2017,3685
587,7/15/2017,4095
590,7/16/2017,4102
593,7/17/2017,4305
596,7/18/2017,4218
599,7/19/2017,4189
602,7/20/2017,4340
605,7/21/2017,4470
608,7/22/2017,4331
611,7/23/2017,3901
614,7/24/2017,3853
617,7/25/2017,3847
620,7/26/2017,3996
623,7/27/2017,3893
626,7/28/2017,4015
629,7/29/2017,3702
632,7/30/2017,3841
635,7/31/2017,4004
638,8/1/2017,4245
641,8/2/2017,4068
644,8/3/2017,4193
647,8/4/2017,4329
650,8/5/2017,3911
653,8/6/2017,3762
659,8/8/2017,3988
662,8/9/2017,4127
665,8/10/2017,4227
668,8/11/2017,3979
671,8/12/2017,3905
674,8/13/2017,4009
677,8/14/2017,4167
680,8/15/2017,3894
683,8/16/2017,4129
686,8/17/2017,4122
689,8/18/2017,4064
692,8/19/2017,4155
695,8/20/2017,3914
698,8/21/2017,4226
701,8/22/2017,4255
704,8/23/2017,3915
707,8/24/2017,3895
710,8/25/2017,4061
713,8/26/2017,3811
716,8/27/2017,3843
719,8/28/2017,3816
722,8/29/2017,3500
725,8/30/2017,3944
728,8/31/2017,3755
731,9/1/2017,3972
734,9/2/2017,3885
737,9/3/2017,3578
740,9/4/2017,3966
743,9/5/2017,4201
749,9/7/2017,3947
752,9/8/2017,4015
755,9/9/2017,3913
758,9/10/2017,3678
761,9/11/2017,4110
764,9/12/2017,4205
767,9/13/2017,4310
770,9/14/2017,4391
773,9/15/2017,4508
776,9/16/2017,4388
779,9/17/2017,4161
782,9/18/2017,4335
785,9/19/2017,4146
788,9/20/2017,4279
791,9/21/2017,4054
794,9/22/2017,4087
797,9/23/2017,4236
800,9/24/2017,4287
803,9/25/2017,4296
806,9/26/2017,4150
809,9/27/2017,4453
812,9/28/2017,4077
815,9/29/2017,4104
818,9/30/2017,3863
821,10/1/2017,3886
824,10/2/2017,4083
827,10/3/2017,3973
830,10/4/2017,4190
836,10/6/2017,4344
839,10/7/2017,4266
842,10/8/2017,3934
845,10/9/2017,3880
848,10/10/2017,4472
851,10/11/2017,4079
857,10/13/2017,4027
860,10/14/2017,4031
863,10/15/2017,3945
866,10/16/2017,4117
869,10/17/2017,3896
872,10/18/2017,4170
878,10/20/2017,4206
881,10/21/2017,3949
884,10/22/2017,3909
887,10/23/2017,4296
890,10/24/2017,3995
893,10/25/2017,4034
896,10/26/2017,3904
902,10/28/2017,4029
905,10/29/2017,3901
908,10/30/2017,3983
911,10/31/2017,3883
914,11/1/2017,4100
917,11/2/2017,4489
920,11/3/2017,4532
926,11/5/2017,4084
929,11/6/2017,4305
932,11/7/2017,3697
935,11/8/2017,3915
938,11/9/2017,4011
944,11/11/2017,3792
947,11/12/2017,3613
950,11/13/2017,4023
953,11/14/2017,3912
956,11/15/2017,3973
959,11/16/2017,4066
962,11/17/2017,3985
968,11/19/2017,3671
971,11/20/2017,4045
974,11/21/2017,3922
977,11/22/2017,4057
980,11/23/2017,3383
983,11/24/2017,3896
986,11/25/2017,3844
992,11/27/2017,4281
995,11/28/2017,4036
998,11/29/2017,4132
1001,11/30/2017,4052
1004,12/1/2017,4353
1007,12/2/2017,3957
1013,12/4/2017,4340
1016,12/5/2017,4213
1019,12/6/2017,4124
1022,12/7/2017,4096
1025,12/8/2017,4124
1028,12/9/2017,3786
1034,12/11/2017,4296
1037,12/12/2017,4143
1040,12/13/2017,3919
1043,12/14/2017,4080
1046,12/15/2017,4503
1049,12/16/2017,3890
1052,12/17/2017,3828
1058,12/19/2017,4155
1061,12/20/2017,4026
1064,12/21/2017,4097
1067,12/22/2017,4379
1070,12/23/2017,3920
1073,12/24/2017,3592
1076,12/25/2017,3401
1082,12/27/2017,3944
1085,12/28/2017,3928
1088,12/29/2017,4011
1091,12/30/2017,4021
1094,12/31/2017,3734
2,1/1/2018,4653
8,1/3/2018,4602
11,1/4/2018,4000
14,1/5/2018,4873
17,1/6/2018,4427
20,1/7/2018,4045
23,1/8/2018,4666
26,1/9/2018,4622
29,1/10/2018,4610
32,1/11/2018,4630
35,1/12/2018,4775
38,1/13/2018,4108
41,1/14/2018,3741
44,1/15/2018,3932
47,1/16/2018,4379
50,1/17/2018,3978
53,1/18/2018,4193
56,1/19/2018,4188
59,1/20/2018,4161
62,1/21/2018,3976
65,1/22/2018,4526
68,1/23/2018,4289
71,1/24/2018,4202
74,1/25/2018,4051
77,1/26/2018,4262
80,1/27/2018,4091
83,1/28/2018,3851
86,1/29/2018,4177
89,1/30/2018,4227
95,2/1/2018,4274
98,2/2/2018,4345
101,2/3/2018,4028
104,2/4/2018,4063
107,2/5/2018,4553
110,2/6/2018,4286
113,2/7/2018,4165
116,2/8/2018,4405
119,2/9/2018,4434
122,2/10/2018,4264
125,2/11/2018,4049
128,2/12/2018,4521
131,2/13/2018,4414
134,2/14/2018,4448
137,2/15/2018,4558
140,2/16/2018,4455
143,2/17/2018,3976
146,2/18/2018,3777
149,2/19/2018,3765
152,2/20/2018,4320
155,2/21/2018,4325
158,2/22/2018,4031
161,2/23/2018,3885
164,2/24/2018,3806
167,2/25/2018,3514
170,2/26/2018,4156
173,2/27/2018,3944
176,2/28/2018,4064
180,3/1/2018,4156
186,3/3/2018,3720
189,3/4/2018,3708
192,3/5/2018,3984
195,3/6/2018,4092
198,3/7/2018,3577
201,3/8/2018,4116
204,3/9/2018,4174
207,3/10/2018,3821
210,3/11/2018,3549
213,3/12/2018,4135
216,3/13/2018,3796
219,3/14/2018,4031
222,3/15/2018,4063
225,3/16/2018,4085
228,3/17/2018,3883
231,3/18/2018,3650
234,3/19/2018,4183
237,3/20/2018,3974
240,3/21/2018,3312
243,3/22/2018,4064
246,3/23/2018,4347
249,3/24/2018,3925
252,3/25/2018,3749
255,3/26/2018,4173
258,3/27/2018,4078
261,3/28/2018,4084
264,3/29/2018,4079
267,3/30/2018,3985
273,4/1/2018,3677
276,4/2/2018,3757
279,4/3/2018,3910
282,4/4/2018,3960
285,4/5/2018,3957
288,4/6/2018,3951
291,4/7/2018,3901
294,4/8/2018,3595
297,4/9/2018,3946
300,4/10/2018,3961
303,4/11/2018,3917
306,4/12/2018,4111
309,4/13/2018,4539
312,4/14/2018,4431
315,4/15/2018,3667
318,4/16/2018,4097
321,4/17/2018,3988
324,4/18/2018,4140
327,4/19/2018,4029
330,4/20/2018,4063
333,4/21/2018,4055
336,4/22/2018,3950
339,4/23/2018,4345
342,4/24/2018,4254
345,4/25/2018,3974
348,4/26/2018,4307
351,4/27/2018,4141
354,4/28/2018,4080
357,4/29/2018,3810
363,5/1/2018,4273
366,5/2/2018,4705
369,5/3/2018,4887
372,5/4/2018,4868
375,5/5/2018,4402
378,5/6/2018,4203
381,5/7/2018,4594
384,5/8/2018,4397
387,5/9/2018,4321
390,5/10/2018,4286
393,5/11/2018,4597
396,5/12/2018,3934
399,5/13/2018,3746
402,5/14/2018,4218
405,5/15/2018,4533
408,5/16/2018,4197
411,5/17/2018,4393
414,5/18/2018,4343
417,5/19/2018,3919
420,5/20/2018,4470
423,5/21/2018,4627
426,5/22/2018,4217
429,5/23/2018,4589
432,5/24/2018,4534
435,5/25/2018,4797
438,5/26/2018,4643
441,5/27/2018,3853
444,5/28/2018,3716
450,5/30/2018,4218
453,5/31/2018,4013
456,6/1/2018,4590
459,6/2/2018,4667
462,6/3/2018,3915
465,6/4/2018,4320
468,6/5/2018,4280
471,6/6/2018,4208
474,6/7/2018,4197
477,6/8/2018,4607
480,6/9/2018,4478
483,6/10/2018,4083
486,6/11/2018,4331
489,6/12/2018,4287
492,6/13/2018,4281
495,6/14/2018,4433
498,6/15/2018,4500
501,6/16/2018,4615
504,6/17/2018,4495
507,6/18/2018,4974
510,6/19/2018,4636
513,6/20/2018,4570
516,6/21/2018,4534
519,6/22/2018,4442
522,6/23/2018,4036
525,6/24/2018,4418
528,6/25/2018,4521
531,6/26/2018,4256
534,6/27/2018,4029
540,6/29/2018,4610
543,6/30/2018,4775
546,7/1/2018,4545
549,7/2/2018,4702
552,7/3/2018,4502
555,7/4/2018,4381
558,7/5/2018,4981
561,7/6/2018,4298
564,7/7/2018,3936
567,7/8/2018,3888
570,7/9/2018,4184
573,7/10/2018,4451
576,7/11/2018,4429
579,7/12/2018,4298
582,7/13/2018,4360
585,7/14/2018,4472
588,7/15/2018,4087
591,7/16/2018,4564
594,7/17/2018,4441
597,7/18/2018,4441
600,7/19/2018,4254
603,7/20/2018,4293
606,7/21/2018,4230
609,7/22/2018,3859
612,7/23/2018,4202
615,7/24/2018,4339
618,7/25/2018,4046
621,7/26/2018,4267
627,7/28/2018,4264
630,7/29/2018,4108
633,7/30/2018,4353
636,7/31/2018,4198
639,8/1/2018,4216
642,8/2/2018,4476
645,8/3/2018,4453
648,8/4/2018,4433
651,8/5/2018,4415
654,8/6/2018,4738
657,8/7/2018,4497
660,8/8/2018,4422
663,8/9/2018,4519
666,8/10/2018,4554
669,8/11/2018,4031
672,8/12/2018,4222
675,8/13/2018,4213
678,8/14/2018,4160
681,8/15/2018,4342
684,8/16/2018,4549
687,8/17/2018,4566
690,8/18/2018,4222
693,8/19/2018,3914
696,8/20/2018,4036
699,8/21/2018,4152
702,8/22/2018,4056
705,8/23/2018,4070
708,8/24/2018,4319
711,8/25/2018,4218
717,8/27/2018,4401
720,8/28/2018,4552
723,8/29/2018,4480
726,8/30/2018,4372
729,8/31/2018,4082
732,9/1/2018,4191
735,9/2/2018,4086
738,9/3/2018,4546
741,9/4/2018,4603
744,9/5/2018,4363
747,9/6/2018,4500
750,9/7/2018,4333
753,9/8/2018,4003
756,9/9/2018,3591
759,9/10/2018,3888
762,9/11/2018,3955
765,9/12/2018,4340
768,9/13/2018,4304
771,9/14/2018,4373
774,9/15/2018,4367
777,9/16/2018,4323
780,9/17/2018,4413
783,9/18/2018,4382
786,9/19/2018,4261
789,9/20/2018,4312
792,9/21/2018,4454
795,9/22/2018,4220
798,9/23/2018,3868
801,9/24/2018,4131
807,9/26/2018,4526
810,9/27/2018,4254
813,9/28/2018,4184
816,9/29/2018,4308
819,9/30/2018,4109
822,10/1/2018,4428
825,10/2/2018,4579
828,10/3/2018,4471
831,10/4/2018,4628
834,10/5/2018,4565
837,10/6/2018,4162
840,10/7/2018,4351
843,10/8/2018,3859
846,10/9/2018,4464
849,10/10/2018,4587
852,10/11/2018,4494
855,10/12/2018,4411
858,10/13/2018,4024
861,10/14/2018,3896
864,10/15/2018,4509
870,10/17/2018,4269
873,10/18/2018,4070
876,10/19/2018,4354
879,10/20/2018,4407
882,10/21/2018,3732
885,10/22/2018,4098
888,10/23/2018,4319
894,10/25/2018,4299
897,10/26/2018,4212
900,10/27/2018,4020
903,10/28/2018,3852
906,10/29/2018,4306
909,10/30/2018,4086
915,11/1/2018,4708
918,11/2/2018,4684
921,11/3/2018,4011
924,11/4/2018,4121
927,11/5/2018,4342
930,11/6/2018,4046
933,11/7/2018,4314
936,11/8/2018,4260
939,11/9/2018,4331
942,11/10/2018,3802
945,11/11/2018,3668
948,11/12/2018,3752
951,11/13/2018,4005
954,11/14/2018,3812
960,11/16/2018,4049
963,11/17/2018,3946
966,11/18/2018,3749
969,11/19/2018,4288
972,11/20/2018,3969
975,11/21/2018,3845
978,11/22/2018,3338
984,11/24/2018,3669
987,11/25/2018,3616
990,11/26/2018,4264
993,11/27/2018,4128
996,11/28/2018,4053
999,11/29/2018,4228
1005,12/1/2018,4078
1008,12/2/2018,3916
1011,12/3/2018,4330
1014,12/4/2018,4234
1017,12/5/2018,4079
1020,12/6/2018,4015
1023,12/7/2018,4250
1026,12/8/2018,3930
1029,12/9/2018,3721
1032,12/10/2018,4159
1035,12/11/2018,4036
1038,12/12/2018,4247
1041,12/13/2018,3998
1044,12/14/2018,4519
1050,12/16/2018,3740
1053,12/17/2018,4442
1056,12/18/2018,4105
1059,12/19/2018,4126
1062,12/20/2018,4352
1065,12/21/2018,4534
1071,12/23/2018,3811
1074,12/24/2018,3850
1077,12/25/2018,3497
1080,12/26/2018,4037
1083,12/27/2018,3958
1086,12/28/2018,4254
1092,12/30/2018,3861
1095,12/31/2018,3959
